"","Species","Number_Cont","Conts","Number_Cntr","Cntrs","Count"
"1","Afrius flavirostrum",1,"Africa",3,"Madagascar - Mauritius - Seychelles",18
"2","Afrius kolleri",1,"Africa",5,"Democratic Republic of the Congo - Uganda - Angola - Kenya - Ethiopia",13
"3","Afrius purpureus",2,"Africa - Asia",25,"Benin - Cameroon - Cabo Verde - Central African Republic - Chad - Democratic Republic of the Congo - Equatorial Guinea - Ethiopia - Gabon - Ghana - Guinea-Bissau - Côte d'Ivoire - Kenya - Mali - Mozambique - Namibia - Nigeria - Senegal - Somalia - South Africa - South Sudan - Tanzania - Togo - Uganda - Yemen",101
"4","Alcaeorrhynchus grandis",2,"North America - South America",12,"Honduras - French Guiana - United States - Argentina - Bolivia - Brazil - Paraguay - Uruguay - México - Venezuela - Ecuador - Peru",104
"5","Alcaeorrhynchus phymatophorus",1,"North America",3,"Cuba - Puerto Rico - Dominican Republic",5
"6","Amyotea erythromela",1,"Asia",1,"Indonesia",3
"7","Amyotea frontalis",1,"Asia",1,"Indonesia",2
"8","Amyotea glaucolimbata",1,"Oceania",1,"Papua New Guinea",1
"9","Amyotea hamata",3,"Australia - Asia - Oceania",3,"Australia - Indonesia - Papua New Guinea",9
"10","Amyotea lata",1,"Asia",1,"China",4
"11","Amyotea malabarica",1,"Asia",5,"India - Indonesia - Philippines - China - Taiwan",43
"12","Amyotea micans",1,"Asia",1,"Indonesia",1
"13","Amyotea reciproca",2,"Asia - Oceania",2,"Indonesia - Papua New Guinea",3
"14","Anasida funebris",1,"Africa",1,"South Africa",1
"15","Anasida orientalis",1,"Asia",1,"India",3
"16","Anasida schoutedeni",1,"Africa",1,"Angola",1
"17","Anasida tenebrio",1,"Africa",5,"Central African Republic - Côte d'Ivoire - Guinea - Cameroon - Democratic Republic of the Congo",9
"18","Andrallus spinidens",4,"Africa - Asia - North America - South America",23,"Madagascar - India - Honduras - Turkmenistan - Pakistan - Turkey - México - Haiti - Iran - Japan - China - Taiwan - Botswana - Malaysia - Indonesia - Vietnam - Argentina - Brazil - United States - Bhutan - Uganda - Democratic Republic of the Congo - Kenya",75
"19","Apateticus lineolatus",2,"North America - South America",9,"Honduras - United States - México - Costa Rica - Guatemala - Panama - Puerto Rico - Venezuela - El Salvador",83
"20","Apateticus marginiventris",1,"North America",2,"United States - México",14
"21","Apoecilus bracteatus",1,"North America",2,"Canada - United States",231
"22","Apoecilus cynicus",1,"North America",2,"United States - Canada",192
"23","Apoecilus invarius",1,"North America",1,"México",2
"24","Arma custos",2,"Asia - Europe",14,"China - Russia - Azerbaijan - Turkey - Iran - Spain - Portugal - Hungary - Switzerland - Slovakia - Czechia - Germany - Poland - France",78
"25","Arma ferruginea",1,"Asia",1,"China",5
"26","Arma insperata",1,"Asia",1,"Turkey",3
"27","Arma koreana",1,"Asia",2,"North Korea - China",7
"28","Arma maculata",1,"Asia",1,"China",2
"29","Arma tubercula",1,"Asia",1,"China",3
"30","Arma velata",1,"Asia",1,"India",1
"31","Australojalla versicolor",1,"Australia",1,"Australia",1
"32","Blachia ducalis",1,"Asia",3,"India - China - Indonesia",5
"33","Brontocoris nigrolimbatus",1,"South America",2,"Chile - Paraguay",2
"34","Brontocoris tabidus",1,"South America",4,"Argentina - Paraguay - Brazil - Uruguay",34
"35","Bulbostethus chrysopterus",1,"Oceania",2,"Northern Mariana Islands - Guam",5
"36","Bulbostethus transversalis",1,"Oceania",1,"Northern Mariana Islands",3
"37","Canthecona discolor",1,"Africa",7,"Cameroon - Gabon - Côte d'Ivoire - Guinea - Angola - Uganda - Democratic Republic of the Congo",12
"38","Cantheconesia cyanacantha",1,"Oceania",3,"Fiji - Vanuatu - Samoa",4
"39","Cantheconidea humeralis",1,"Asia",4,"China - Myanmar - Laos - Thailand",12
"40","Cantheconidea javana",1,"Asia",8,"India - Myanmar - China - Thailand - Indonesia - Timor-Leste - Philippines - Malaysia",15
"41","Cantheconidea mitis",1,"Asia",2,"Indonesia - Timor-Leste",3
"42","Cazira bergrothi",1,"Asia",1,"Vietnam",1
"43","Cazira breddini",1,"Asia",3,"Vietnam - China - India",6
"44","Cazira chiroptera",1,"Asia",2,"Indonesia - Philippines",4
"45","Cazira concinna",1,"Asia",1,"China",2
"46","Cazira emeia",1,"Asia",1,"China",4
"47","Cazira flava",1,"Asia",1,"China",2
"48","Cazira frivaldskyi",1,"Asia",4,"India - Vietnam - China - Bhutan",10
"49","Cazira fruhstorferi",1,"Asia",1,"Indonesia",1
"50","Cazira horvathi",1,"Asia",2,"China - Vietnam",3
"51","Cazira inerma",1,"Asia",1,"China",6
"52","Cazira insignis",1,"Asia",2,"India - Bhutan",2
"53","Cazira internexa",1,"Asia",1,"Cambodia",1
"54","Cazira kirkaldyi",1,"Asia",1,"Indonesia",1
"55","Cazira membrania",1,"Asia",1,"China",4
"56","Cazira montandoni",1,"Asia",2,"China - Vietnam",2
"57","Cazira reuteri",1,"Asia",1,"Vietnam",1
"58","Cazira schwarzi",1,"Asia",1,"Pakistan",1
"59","Cazira sichuana",1,"Asia",1,"China",1
"60","Cazira similis",1,"Asia",2,"Vietnam - India",2
"61","Cazira thibetensis",1,"Asia",1,"China",2
"62","Cazira ulcerata",1,"Asia",3,"India - Vietnam - Thailand",7
"63","Cazira vegeta",1,"Asia",2,"India - China",5
"64","Cazira verrucosa",1,"Asia",5,"India - Pakistan - Vietnam - China - Taiwan",27
"65","Cazira yunnanica",1,"Asia",1,"China",1
"66","Cecryina flata",1,"Asia",1,"China",1
"67","Cecryina platyrhinoides",1,"Asia",5,"China - Arunachal Pradesh - Bhutan - Vietnam - India",16
"68","Cecryina rubra",1,"Asia",1,"China",1
"69","Cermatulus nasalis",1,"Australia",1,"Australia",24
"70","Cermatulus turbotti",1,"Oceania",1,"New Zealand",1
"71","Colpothyreus flavolineatus",1,"South America",1,"Brazil",1
"72","Comperocoris roehneri",1,"South America",1,"Chile",7
"73","Conquistator mucronatus",1,"North America",1,"United States",1
"74","Coryzorhaphis carneolus",1,"South America",3,"Colombia - French Guiana - Brazil",12
"75","Coryzorhaphis cruciata",2,"North America - South America",3,"Honduras - México - Venezuela",19
"76","Coryzorhaphis dollingi",1,"South America",1,"Ecuador",1
"77","Coryzorhaphis egeri",1,"North America",3,"México - Guatemala - Costa Rica",3
"78","Coryzorhaphis leucocephala",1,"South America",1,"Brazil",10
"79","Coryzorhaphis superba",1,"South America",1,"Colombia",1
"80","Damarius splendidulus",1,"Africa",8,"Cameroon - Central African Republic - Côte d'Ivoire - Ethiopia - Ghana - Sierra Leone - Democratic Republic of the Congo - Uganda",14
"81","Dinorhynchus dybowskyi",2,"Europe - Asia",3,"Russia - China - Japan",10
"82","Dinorhynchus opulentus",1,"Asia",1,"China",2
"83","Discocera cayennensis",1,"South America",4,"Uruguay - French Guiana - Brazil - Peru",9
"84","Discocera coccinea",1,"South America",5,"Bolivia - Paraguay - Peru - French Guiana - Brazil",24
"85","Dorycoris pavoninus",1,"Africa",21,"Benin - Burkina Faso - Central African Republic - Republic of the Congo - Ethiopia - Gabon - Côte d'Ivoire - Guinea - Kenya - Madagascar - Senegal - Sierra Leone - Angola - Ghana - Cameroon - Togo - Nigeria - South Africa - Tanzania - Democratic Republic of the Congo - Rwanda",40
"86","Ealda minax",1,"Oceania",1,"New Caledonia",1
"87","Eocanthecona acuta ",1,"Asia",1,"Indonesia",2
"88","Eocanthecona binotata",1,"Asia",2,"China - India",3
"89","Eocanthecona concinna",1,"Asia",4,"Taiwan - India - China - Indonesia",15
"90","Eocanthecona eburnea",1,"Asia",1,"Philippines",1
"91","Eocanthecona formosa",1,"Asia",1,"Taiwan",1
"92","Eocanthecona furcellata",2,"Asia - Oceania",7,"India - Jammu and Kashmir - Pakistan - Palau - China - Taiwan - Thailand",62
"93","Eocanthecona glaugeri",1,"Asia",1,"Indonesia",1
"94","Eocanthecona insularis",1,"Asia",1,"Sri Lanka",1
"95","Eocanthecona japonicola",1,"Asia",2,"South Korea - Japan",3
"96","Eocanthecona kyushuensis",1,"Asia",1,"Japan",1
"97","Eocanthecona latipes",1,"Asia",1,"Philippines",4
"98","Eocanthecona neotibialis",1,"Asia",1,"Pakistan",1
"99","Eocanthecona ornatula",1,"Asia",1,"India",2
"100","Eocanthecona parva",1,"Asia",2,"India - China",13
"101","Eocanthecona populusi",1,"Asia",1,"Pakistan",1
"102","Eocanthecona robusta",2,"Asia - Australia",4,"India - Australia - Sri Lanka - Indonesia",5
"103","Eocanthecona rufescens",1,"Asia",1,"Indonesia",2
"104","Eocanthecona shikokuensis",1,"Asia",1,"Japan",1
"105","Eocanthecona thomsoni",1,"Asia",1,"China",8
"106","Eocanthecona tibialis",1,"Asia",2,"India - Malaysia",4
"107","Eocanthecona variabilis",1,"Asia",1,"Indonesia",2
"108","Eocanthecona vollenhoveni",1,"Asia",1,"Indonesia",1
"109","Euthyrhynchus floridanus",2,"North America - South America",9,"Honduras - Colombia - Bolivia - México - United States - Brazil - Venezuela - Costa Rica - Nicaragua",76
"110","Friarius alluaudi",1,"Africa",1,"Madagascar",5
"111","Glypsus abdominalis",1,"Africa",1,"Madagascar",3
"112","Glypsus bouvieri",1,"Africa",9,"Cameroon - Central African Republic - Republic of the Congo - Gabon - Côte d'Ivoire - Guinea - Mozambique - Tanzania - Democratic Republic of the Congo",15
"113","Glypsus carinulatus",1,"Africa",1,"Angola",1
"114","Glypsus conspicuus",1,"Africa",8,"Botswana - Kenya - Mozambique - Tanzania - South Africa - Zambia - Zimbabwe - Democratic Republic of the Congo",19
"115","Glypsus erubescens",1,"Africa",4,"Cameroon - Chad - Côte d'Ivoire - Mali",6
"116","Glypsus fuscispinus",1,"Africa",2,"South Africa - Tanzania",2
"117","Glypsus kuhlgatzi",1,"Africa",9,"Cameroon - Central African Republic - Republic of the Congo - Ethiopia - Côte d'Ivoire - Guinea - Kenya - Tanzania - Democratic Republic of the Congo",16
"118","Glypsus nigripes",1,"Africa",1,"Madagascar",1
"119","Glypsus sparsus",1,"Africa",1,"Sierra Leone",1
"120","Glypsus truculentus",1,"Africa",1,"Madagascar",5
"121","Glypsus vigil",1,"Africa",1,"Guinea",1
"122","Hemallia signitenens",1,"Africa",2,"Mauritius - Madagascar",2
"123","Heteroscelis bimaculata",1,"South America",6,"French Guiana - Ecuador - Peru - Bolivia - Brazil - Argentina",8
"124","Heteroscelis lepida",3,"North America - South America - Africa",10,"México - Honduras - El Salvador - Panama - French Guiana - Venezuela - Colombia - Brazil - Chad - Costa Rica",17
"125","Heteroscelis robustus",1,"South America",2,"Colombia - Brazil",8
"126","Heteroscelis servillii",1,"South America",10,"French Guiana - Ecuador - Peru - Venezuela - Bolivia - Brazil - Suriname - Paraguay - Argentina - Trinidad and Tobago",37
"127","Heteroscelis vandembergi",1,"South America",1,"Colombia",2
"128","Hoploxys coeruleus",1,"Africa",5,"Cameroon - Republic of the Congo - Democratic Republic of the Congo - Gabon - Uganda",13
"129","Jalla dumosa",2,"Asia - Europe",9,"Turkey - Spain - China - Switzerland - Hungary - Czechia - Germany - Italy - Austria",38
"130","Jalla subcalcarata",1,"Asia",1,"China",7
"131","Jalla subdilatata",1,"Africa",1,"Algeria",1
"132","Jalloides opulentus",1,"Australia",1,"Australia",1
"133","Jalloides rubricosus",1,"Australia",1,"Australia",1
"134","Leptolobus eburneatus",1,"Africa",2,"Cameroon - Democratic Republic of the Congo",6
"135","Leptolobus insignis",1,"Africa",1,"Malawi",1
"136","Leptolobus karschi",1,"Africa",1,"Cameroon",1
"137","Leptolobus martnini",1,"Africa",2,"Uganda - Cameroon",2
"138","Leptolobus murrayi",1,"Africa",4,"Central African Republic - Nigeria - Cameroon - Côte d'Ivoire",4
"139","Leptolobus zanzibaricus",1,"Africa",1,"Cameroon",1
"140","Macrorhaphis acuta",1,"Africa",13,"Benin - Cameroon - Chad - Kenya - Madagascar - Mali - Mozambique - Senegal - Tanzania - South Africa - Zimbabwe - Zambia - Democratic Republic of the Congo",25
"141","Macrorhaphis dallasi",1,"Africa",1,"Madagascar",6
"142","Macrorhaphis leprosa",1,"Africa",1,"South Africa",4
"143","Macrorhaphis wollastoni ",1,"Africa",1,"Saint Helena, Ascension and Tris",1
"144","Marmessulus brasilianus",1,"South America",2,"Brazil - Argentina",3
"145","Marmessulus nigricornis",1,"South America",2,"Brazil - Argentina",7
"146","Martinina inexpectata",1,"Asia",1,"China",3
"147","Martinina prima",1,"Asia",1,"India",1
"148","Mecosoma coquerelii",1,"Africa",1,"Madagascar",1
"149","Mecosoma floridum",1,"Africa",2,"Kenya - Zimbabwe",2
"150","Mecosoma mensor",1,"Africa",8,"Cameroon - Côte d'Ivoire - Kenya - Uganda - Nigeria - Democratic Republic of the Congo - Zambia - Zimbabwe",13
"151","Montrouzieriellus borneensis",1,"Asia",1,"Malaysia",1
"152","Montrouzieriellus falleni",2,"Asia - Oceania",8,"Indonesia - Palau - Micronesia - Marshall Islands - Kiribati - Papua New Guinea - Solomon Islands - Samoa",14
"153","Montrouzieriellus inermis",1,"Asia",1,"Indonesia",1
"154","Montrouzieriellus laetus",1,"Asia",1,"Indonesia",6
"155","Montrouzieriellus lefebvrei",1,"Asia",1,"Indonesia",1
"156","Montrouzieriellus minor",1,"Asia",1,"Indonesia",1
"157","Montrouzieriellus purparascens",1,"Asia",1,"Indonesia",1
"158","Montrouzieriellus turneri",2,"Australia - Oceania",2,"Australia - Papua New Guinea",3
"159","Oechalia acuta",1,"North America",1,"United States",2
"160","Oechalia bryani",1,"North America",1,"United States",3
"161","Oechalia ferruginea",1,"North America",1,"United States",1
"162","Oechalia grisea",1,"North America",1,"United States",2
"163","Oechalia hirtipes",1,"North America",1,"United States",1
"164","Oechalia kaonohi",1,"North America",1,"United States",6
"165","Oechalia pacifica",1,"North America",1,"United States",5
"166","Oechalia patruelis",1,"North America",1,"United States",8
"167","Oechalia schellenbergii",2,"Australia - Oceania",5,"Australia - United States Minor Outlying Isl - Marshall Islands - French Polynesia - New Zealand",36
"168","Oechalia similis",1,"North America",1,"United States",1
"169","Oechalia sinuata",1,"North America",1,"United States",1
"170","Oechalia suehiroae",1,"North America",1,"United States",1
"171","Oechalia swezeyi",1,"North America",1,"United States",2
"172","Oechalia virescens",1,"North America",1,"United States",8
"173","Oechalia virgula",1,"North America",1,"United States",2
"174","Oplomus annotatus",1,"North America",1,"Cuba",1
"175","Oplomus catena",1,"South America",3,"Argentina - Paraguay - Brazil",31
"176","Oplomus cruentus",1,"South America",5,"Argentina - Brazil - Paraguay - Uruguay - Ecuador",32
"177","Oplomus dichrous",1,"North America",2,"Honduras - México",44
"178","Oplomus ebulinus",1,"South America",2,"Peru - Ecuador",2
"179","Oplomus festivus",1,"South America",6,"Argentina - Bolivia - Brazil - Paraguay - Venezuela - Colombia",33
"180","Oplomus mundus",1,"North America",2,"Honduras - México",11
"181","Oplomus mutabilis",1,"North America",2,"Honduras - México",14
"182","Oplomus pulcher",1,"North America",2,"Honduras - México",33
"183","Oplomus pulchriventris",1,"South America",1,"Argentina",6
"184","Oplomus punctatus",1,"South America",3,"Argentina - Peru - Ecuador",12
"185","Oplomus salamandra",2,"South America - North America",10,"Argentina - Bolivia - Paraguay - French Guiana - Venezuela - Brazil - Panama - Peru - Ecuador - Suriname",24
"186","Ornithosoma rivierei",1,"South America",1,"Argentina",1
"187","Parajalla sanguineosignata",1,"South America",1,"Argentina",2
"188","Parealda bouvieri",1,"Oceania",1,"Northern Mariana Islands",1
"189","Perillus bioculatus",1,"North America",2,"United States - México",121
"190","Perillus circumcinctus",1,"North America",1,"United States",33
"191","Perillus confluens",1,"North America",2,"Honduras - México",29
"192","Perillus exaptus",1,"North America",2,"United States - Canada",61
"193","Perillus lunatus",1,"North America",1,"United States",1
"194","Perillus splendidus",1,"North America",2,"United States - México",13
"195","Perillus strigipes",1,"North America",1,"United States",17
"196","Picromerus bidens",3,"Asia - Europe - North America",13,"China - Turkey - Iran - Spain - Portugal - Russia - Denmark - Czechia - Slovakia - Hungary - Switzerland - United States - Germany",68
"197","Picromerus brachypterus",1,"Asia",1,"Turkey",1
"198","Picromerus conformis",1,"Asia",1,"Turkey",5
"199","Picromerus elevatus",1,"Asia",1,"China",6
"200","Picromerus fasciaticeps",1,"Asia",1,"China",2
"201","Picromerus griseus",1,"Asia",2,"India - China",10
"202","Picromerus lewisi",1,"Asia",3,"Kazakhstan - China - Japan",22
"203","Picromerus nigridens",1,"Europe",2,"Spain - Portugal",13
"204","Picromerus orientalis",1,"Asia",1,"Pakistan",1
"205","Picromerus pseudobidens",1,"Asia",1,"Turkey",1
"206","Picromerus viridipunctatus",1,"Asia",1,"China",8
"207","Pinthaeus sanguinipes",2,"Asia - Europe",7,"China - Italy - Russia - Turkey - Spain - Portugal - Czechia",36
"208","Planopsis silvaticus",1,"Africa",4,"Central African Republic - Republic of the Congo - Gabon - Democratic Republic of the Congo",5
"209","Platynopiellus delevali",1,"Africa",1,"Angola",1
"210","Platynopiellus dispar",1,"Africa",1,"Cameroon",1
"211","Platynopiellus fallax",1,"Africa",1,"Cameroon",1
"212","Platynopiellus horvathi",1,"Africa",3,"Cameroon - Liberia - Angola",3
"213","Platynopiellus reichi",1,"Africa",2,"Ghana - Cameroon",2
"214","Platynopiellus scutellatus",1,"Africa",1,"Democratic Republic of the Congo",1
"215","Platynopiellus septendecimaculatus",2,"Africa - Asia",7,"Benin - India - Democratic Republic of the Congo - Cameroon - Ghana - Uganda - Sierra Leone",12
"216","Platynopiellus thomsonii",1,"Africa",2,"Republic of the Congo - Cameroon",2
"217","Platynopus calliger",1,"Asia",1,"Indonesia",1
"218","Platynopus carbonarius",1,"Asia",1,"Indonesia",1
"219","Platynopus dalpadoides",1,"Asia",2,"Indonesia - Philippines",2
"220","Platynopus indicus",1,"Asia",1,"India",1
"221","Platynopus melanoleucus",1,"Asia",3,"Indonesia - Taiwan - Philippines",4
"222","Podisus aenescens",2,"South America - North America",6,"French Guiana - Argentina - México - Ecuador - Brazil - Peru",22
"223","Podisus affinis",2,"North America - South America",4,"Honduras - México - Guatemala - Colombia",14
"224","Podisus australis",1,"South America",2,"Argentina - Uruguay",2
"225","Podisus boriquensis",1,"North America",1,"Puerto Rico",1
"226","Podisus brevispinus",1,"North America",2,"United States - Canada",228
"227","Podisus congrex",2,"North America - South America",8,"Honduras - México - Colombia - Costa Rica - Ecuador - Guatemala - Haiti - Venezuela",33
"228","Podisus cornutus",1,"South America",1,"Brazil",1
"229","Podisus crassimargo",1,"South America",1,"Brazil",1
"230","Podisus curvispinus",1,"South America",1,"Brazil",1
"231","Podisus distinctus",1,"South America",1,"Brazil",9
"232","Podisus falcatus",1,"North America",2,"Honduras - Guatemala",3
"233","Podisus fuscescens",2,"North America - South America",11,"México - Honduras - Panama - Colombia - Venezuela - Brazil - Ecuador - Peru - Bolivia - Paraguay - Argentina",87
"234","Podisus graziae",1,"South America",2,"Brazil - Paraguay",6
"235","Podisus gundlachii",1,"North America",1,"Cuba",1
"236","Podisus insignis",1,"North America",1,"Guatemala",1
"237","Podisus mactans",1,"South America",1,"Ecuador",1
"238","Podisus maculiventris",1,"North America",5,"United States - México - Dominican Republic - Canada - Cuba",423
"239","Podisus mexicanus",1,"North America",1,"México",8
"240","Podisus mucronatus",1,"North America",3,"Dominican Republic - Cuba - United States",31
"241","Podisus neglectus",1,"North America",1,"United States",2
"242","Podisus nigrispinus",1,"South America",7,"Argentina - Brazil - Bolivia - Paraguay - Uruguay - French Guiana - Venezuela",36
"243","Podisus nigriventris",1,"North America",4,"Honduras - México - Costa Rica - Guatemala",10
"244","Podisus pallipes",1,"South America",1,"Venezuela",1
"245","Podisus placidus",1,"North America",2,"United States - Canada",202
"246","Podisus rostralis",1,"South America",2,"French Guiana - Bolivia",3
"247","Podisus sagitta",2,"North America - South America",13,"Honduras - Colombia - México - Dominican Republic - Costa Rica - Cuba - Dominica - Guatemala - Haiti - Jamaica - Nicaragua - Puerto Rico - United States",63
"248","Podisus sculptus",2,"South America - North America",2,"French Guiana - Panama",2
"249","Podisus semialbus",1,"South America",1,"Brazil",1
"250","Podisus serieventris",1,"North America",2,"United States - Canada",126
"251","Podisus sordidus",1,"South America",1,"Ecuador",1
"252","Podisus subferrugineus",1,"North America",3,"Cuba - Jamaica - Dominican Republic",4
"253","Podisus thomasi",2,"South America - North America",4,"Venezuela - Panama - Colombia - Ecuador",12
"254","Podisus tinctus",1,"South America",1,"Colombia",1
"255","Podisus trucidatus",1,"North America",1,"Honduras",1
"256","Podisus ventralis",1,"South America",3,"Venezuela - Ecuador - Colombia",6
"257","Ponapea arachnoides",1,"Oceania",1,"Micronesia",1
"258","Pseudanasida fallax",1,"Asia",1,"India",1
"259","Pseudanasida ikrami",1,"Asia",1,"Pakistan",1
"260","Rhacognathus americanus",1,"North America",1,"United States",5
"261","Rhacognathus callosus",1,"Asia",1,"Mongolia",1
"262","Rhacognathus corniger",1,"Asia",1,"North Korea",1
"263","Rhacognathus punctatus",2,"Europe - Asia",9,"Russia - Turkey - Spain - China - Denmark - Slovakia - Germany - Belgium - France",23
"264","Spockia tagala",1,"Asia",1,"Philippines",2
"265","Stilbotes goulae",1,"Asia",1,"Philippines",1
"266","Stilbotes semperi",1,"Asia",1,"Philippines",4
"267","Stiretrus anchorago",3,"North America - South America - Asia",5,"Honduras - United States - Colombia - México - Thailand",146
"268","Stiretrus bifrenatus",1,"South America",2,"Ecuador - Peru",2
"269","Stiretrus cinctellus",1,"South America",3,"Colombia - Brazil - Ecuador",4
"270","Stiretrus decastigmus",1,"South America",4,"Argentina - Brazil - Paraguay - Uruguay",43
"271","Stiretrus decemguttatus",1,"South America",6,"Argentina - Brazil - Paraguay - French Guiana - Venezuela - Bolivia",56
"272","Stiretrus erythrocephalus",1,"South America",2,"Argentina - Brazil",38
"273","Stiretrus loratus",1,"South America",5,"Argentina - French Guiana - Paraguay - Peru - Brazil",9
"274","Stiretrus quinquepunctatus",1,"North America",1,"Dominican Republic",1
"275","Supputius cincticeps",1,"South America",5,"Brazil - Paraguay - Argentina - Venezuela - Uruguay",60
"276","Supputius pulchicornis",1,"North America",1,"México",2
"277","Supputius typicus",2,"North America - South America",7,"Honduras - México - Brazil - Costa Rica - Venezuela - Peru - Panama",12
"278","Troilus luridus",2,"Europe - Asia",8,"Russia - Turkey - Spain - Portugal - China - Slovakia - Czechia - Germany",32
"279","Troilus testaceus",1,"Asia",1,"China",2
"280","Tylospilus acutissimus",2,"North America - South America",10,"Honduras - United States - México - Dominican Republic - Puerto Rico - Bahamas - Costa Rica - Curaçao - Venezuela - Brazil",171
"281","Tylospilus armatusimilis",1,"South America",1,"Uruguay",2
"282","Tylospilus chilensis",1,"South America",2,"Bolivia - Chile",2
"283","Tylospilus cloelia",2,"South America - North America",4,"French Guiana - México - Brazil - Argentina",19
"284","Tylospilus distans",1,"South America",3,"Argentina - Chile - Brazil",8
"285","Tylospilus gaumeri",1,"North America",1,"México",1
"286","Tylospilus megaspilus",1,"South America",1,"Brazil",1
"287","Tylospilus nigrobinotatus",1,"South America",2,"Argentina - Uruguay",16
"288","Tylospilus peruvianus",1,"South America",4,"Colombia - French Guiana - Brazil - Peru",6
"289","Tynacantha cuprea",1,"South America",1,"Brazil",1
"290","Tynacantha marginata",1,"South America",8,"Argentina - Brazil - Venezuela - Colombia - Peru - Bolivia - Paraguay - Uruguay",118
"291","Tynacantha splendens",1,"North America",2,"Panama - Costa Rica",2
"292","Tynacantha umeridenigrata",1,"South America",1,"Brazil",1
"293","Tyrannocoris jole",2,"North America - South America",4,"Honduras - French Guiana - México - Dominican Republic",10
"294","Tyrannocoris nigriceps",1,"South America",4,"Colombia - French Guiana - Argentina - Brazil",14
"295","Tyrannocoris rex",1,"South America",2,"French Guiana - Brazil",13
"296","Tyrannocoris rideri",1,"North America",1,"Puerto Rico",1
"297","Zicrona americana",1,"North America",2,"United States - México",17
"298","Zicrona caerulea",4,"Asia - North America - Europe - Africa",18,"India - Jammu and Kashmir - United States - Turkey - Taiwan - Japan - Spain - Pakistan - Russia - China - Switzerland - Bulgaria - Iraq - Tanzania - Uganda - Indonesia - Czechia - Slovakia",88
"299","Zicrona hisarensis",1,"Asia",1,"India",1
